feature,n,scope,spearman_rho,target
cgroup_delta_cpu_usage_usec,38,all-valid,-0.35791662107451583,ttft_ms_p95
service_mean_sglang_kv_used_tokens,38,all-valid,0.3568224094539884,ttft_ms_p95
service_max_sglang_cache_hit_rate,38,all-valid,-0.35509011016982495,ttft_ms_p95
service_mean_sglang_cache_hit_rate,38,all-valid,-0.35509011016982495,ttft_ms_p95
cgroup_delta_cpu_nr_periods,38,all-valid,-0.34550335354623146,ttft_ms_p95
queue_samples,38,all-valid,-0.34195250384428433,ttft_ms_p95
service_sample_count,38,all-valid,-0.34195250384428433,ttft_ms_p95
service_max_sglang_kv_used_tokens,38,all-valid,0.33428165007112376,ttft_ms_p95
gpu_counter_energy_j,38,all-valid,-0.331217857533647,ttft_ms_p95
cgroup_delta_cpu_system_usec,38,all-valid,-0.32793522267206476,ttft_ms_p95
gpu_sample_row_count,38,all-valid,-0.32391902393792454,ttft_ms_p95
service_max_sglang_decode_sum_seq_lens,38,all-valid,0.32337491986145395,ttft_ms_p95
service_max_sglang_full_token_usage,38,all-valid,0.3180873180873181,ttft_ms_p95
service_mean_sglang_token_usage,38,all-valid,0.31721194879089615,ttft_ms_p95
service_mean_sglang_full_token_usage,38,all-valid,0.3145858409016304,ttft_ms_p95
gpu_max_clock_event_reasons,38,all-valid,0.3093176493144356,ttft_ms_p95
gpu_max_memory_free_bytes,38,all-valid,-0.2847434844393447,ttft_ms_p95
network_delta_lo_rx_packets,38,all-valid,-0.28000875369296424,ttft_ms_p95
network_delta_lo_tx_packets,38,all-valid,-0.28000875369296424,ttft_ms_p95
gpu_mean_dram_activity_pct,38,all-valid,0.2749753802385381,ttft_ms_p95
gpu_max_memory_used_bytes,38,all-valid,-0.27213043002516685,ttft_ms_p95
gpu_power_imbalance_fraction,38,all-valid,-0.2666593719225298,ttft_ms_p95
service_mean_sglang_decode_sum_seq_lens,38,all-valid,0.26490863332968595,ttft_ms_p95
cgroup_mean_memory_current_bytes,38,all-valid,0.2603129445234708,ttft_ms_p95
gpu_mean_memory_busy_pct,38,all-valid,0.2570303096618886,ttft_ms_p95
gpu_max_fp16_activity_pct,38,all-valid,0.25330999015209543,ttft_ms_p95
cgroup_rate_cpu_user_usec_per_s,38,all-valid,-0.24915198599409125,ttft_ms_p95
network_rate_eth0_rx_bytes_per_s,38,all-valid,-0.24872310632000863,ttft_ms_p95
network_rate_eth0_rx_packets_per_s,38,all-valid,-0.24872310632000863,ttft_ms_p95
service_max_sglang_kv_evictable_tokens,38,all-valid,-0.2435538470142402,ttft_ms_p95
network_delta_eth0_rx_bytes,38,all-valid,-0.24195992345775577,ttft_ms_p95
network_delta_eth0_rx_packets,38,all-valid,-0.24195992345775577,ttft_ms_p95
gpu_max_hmma_tensor_activity_pct,38,all-valid,0.23558376189955138,ttft_ms_p95
gpu_max_tensor_activity_pct,38,all-valid,0.23558376189955138,ttft_ms_p95
network_delta_lo_rx_bytes,38,all-valid,-0.23383302330670752,ttft_ms_p95
network_delta_lo_tx_bytes,38,all-valid,-0.23383302330670752,ttft_ms_p95
service_mean_sglang_kv_evictable_tokens,38,all-valid,-0.23372746701942937,ttft_ms_p95
gpu_mean_graphics_activity_pct,38,all-valid,0.23317649633439108,ttft_ms_p95
service_mean_sglang_num_running_reqs,38,all-valid,0.22704891125943757,ttft_ms_p95
gpu_max_temperature_c,38,all-valid,0.2269991203643789,ttft_ms_p95
service_max_sglang_token_usage,38,all-valid,0.2263181379045086,ttft_ms_p95
cgroup_max_memory_current_bytes,38,all-valid,0.21588795273005798,ttft_ms_p95
service_max_sglang_num_running_reqs,38,all-valid,0.2113775576203978,ttft_ms_p95
cgroup_rate_cpu_system_usec_per_s,38,all-valid,0.21129226392384287,ttft_ms_p95
gpu_max_nvlink_tx_mib_s,38,all-valid,0.1828427617901302,ttft_ms_p95
gpu_mean_gpu_busy_pct,38,all-valid,0.18262391946602474,ttft_ms_p95
service_mean_sglang_kv_available_tokens,38,all-valid,-0.1817485501696028,ttft_ms_p95
service_mean_sglang_gen_throughput,38,all-valid,0.17956012692854798,ttft_ms_p95
gpu_max_nvlink_rx_mib_s,38,all-valid,0.1745267534741219,ttft_ms_p95
gpu_mean_temperature_c,38,all-valid,0.1659919028340081,ttft_ms_p95
gpu_mean_memory_free_bytes,38,all-valid,0.16358463726884778,ttft_ms_p95
gpu_mean_memory_used_bytes,38,all-valid,-0.16358463726884778,ttft_ms_p95
network_rate_eth0_tx_packets_per_s,38,all-valid,-0.16295175138500023,ttft_ms_p95
gpu_max_interval_s,38,all-valid,-0.16139621402779297,ttft_ms_p95
network_rate_eth0_tx_bytes_per_s,38,all-valid,-0.16108944565488595,ttft_ms_p95
network_delta_eth0_tx_packets,38,all-valid,-0.15834618398092543,ttft_ms_p95
network_delta_eth0_tx_bytes,38,all-valid,-0.1573897790841213,ttft_ms_p95
service_maximum_gap_s,38,all-valid,-0.14935988620199148,ttft_ms_p95
gpu_maximum_gap_s,38,all-valid,-0.13885545464492832,ttft_ms_p95
gpu_raw_maximum_gap_s,38,all-valid,-0.13885545464492832,ttft_ms_p95
gpu_busy_imbalance_fraction,38,all-valid,-0.13185250027355291,ttft_ms_p95
gpu_mean_pcie_rx_mib_s,38,all-valid,-0.12725681146733778,ttft_ms_p95
gpu_max_integer_activity_pct,38,all-valid,-0.11828427617901302,ttft_ms_p95
gpu_max_power_instant_w,38,all-valid,0.09914099702971926,ttft_ms_p95
service_max_sglang_kv_available_tokens,38,all-valid,0.09261099576006655,ttft_ms_p95
gpu_max_sm_activity_pct,38,all-valid,0.09158551263814421,ttft_ms_p95
gpu_max_sm_occupancy_pct,38,all-valid,0.0808622387569756,ttft_ms_p95
network_rate_lo_rx_packets_per_s,38,all-valid,0.07648539227486596,ttft_ms_p95
network_rate_lo_tx_packets_per_s,38,all-valid,0.07648539227486596,ttft_ms_p95
gpu_max_dram_activity_pct,38,all-valid,0.07478960545524349,ttft_ms_p95
gpu_sample_coverage,38,all-valid,0.06423022212495896,ttft_ms_p95
gpu_mean_interval_s,38,all-valid,-0.05700842542947806,ttft_ms_p95
gpu_max_pcie_tx_mib_s,38,all-valid,0.0370937739358792,ttft_ms_p95
cgroup_rate_cpu_usage_usec_per_s,38,all-valid,-0.032060400481453116,ttft_ms_p95
gpu_max_graphics_activity_pct,38,all-valid,0.024619761461866726,ttft_ms_p95
network_rate_lo_rx_bytes_per_s,38,all-valid,0.019148703359229673,ttft_ms_p95
network_rate_lo_tx_bytes_per_s,38,all-valid,0.019148703359229673,ttft_ms_p95
gpu_max_pcie_rx_mib_s,38,all-valid,0.000328263486158223,ttft_ms_p95
service_max_sglang_token_usage,19,balanced-valid,0.533113989983183,e2e_ms_p95
service_maximum_gap_s,19,balanced-valid,0.4543859649122807,e2e_ms_p95
cgroup_rate_cpu_user_usec_per_s,19,balanced-valid,0.3824561403508772,e2e_ms_p95
gpu_max_graphics_activity_pct,19,balanced-valid,0.36666666666666664,e2e_ms_p95
gpu_max_memory_used_bytes,19,balanced-valid,0.3385964912280702,e2e_ms_p95
service_max_sglang_num_running_reqs,19,balanced-valid,0.33848621480578833,e2e_ms_p95
gpu_max_pcie_tx_mib_s,19,balanced-valid,-0.3350877192982456,e2e_ms_p95
gpu_mean_pcie_rx_mib_s,19,balanced-valid,-0.3192982456140351,e2e_ms_p95
queue_median,19,balanced-valid,0.27811293214542115,e2e_ms_p95
gpu_max_temperature_c,19,balanced-valid,0.2670811465055201,e2e_ms_p95
gpu_maximum_gap_s,19,balanced-valid,0.26666666666666666,e2e_ms_p95
gpu_raw_maximum_gap_s,19,balanced-valid,0.26666666666666666,e2e_ms_p95
queue_maximum,19,balanced-valid,0.26338903917730844,e2e_ms_p95
service_max_sglang_num_queue_reqs,19,balanced-valid,0.26338903917730844,e2e_ms_p95
service_mean_sglang_gen_throughput,19,balanced-valid,0.2596491228070175,e2e_ms_p95
service_max_sglang_kv_used_tokens,19,balanced-valid,0.24385964912280703,e2e_ms_p95
gpu_sample_coverage,19,balanced-valid,-0.24210526315789474,e2e_ms_p95
service_mean_sglang_decode_sum_seq_lens,19,balanced-valid,0.24210526315789474,e2e_ms_p95
gpu_max_integer_activity_pct,19,balanced-valid,-0.23508771929824562,e2e_ms_p95
cgroup_delta_cpu_user_usec,19,balanced-valid,0.23333333333333334,e2e_ms_p95
cgroup_rate_cpu_system_usec_per_s,19,balanced-valid,-0.22105263157894736,e2e_ms_p95
service_mean_sglang_num_queue_reqs,19,balanced-valid,0.21754385964912282,e2e_ms_p95
cgroup_rate_cpu_usage_usec_per_s,19,balanced-valid,0.21403508771929824,e2e_ms_p95
service_max_sglang_full_token_usage,19,balanced-valid,0.21403508771929824,e2e_ms_p95
gpu_mean_pcie_tx_mib_s,19,balanced-valid,-0.21052631578947367,e2e_ms_p95
gpu_max_interval_s,19,balanced-valid,0.20350877192982456,e2e_ms_p95
queue_nonzero_fraction,19,balanced-valid,0.2,e2e_ms_p95
service_max_sglang_decode_sum_seq_lens,19,balanced-valid,0.1886792634467702,e2e_ms_p95
service_max_sglang_gen_throughput,19,balanced-valid,0.18596491228070175,e2e_ms_p95
gpu_max_pcie_rx_mib_s,19,balanced-valid,-0.18421052631578946,e2e_ms_p95
gpu_max_fp32_activity_pct,19,balanced-valid,0.17894736842105263,e2e_ms_p95
gpu_max_power_instant_w,19,balanced-valid,-0.17543859649122806,e2e_ms_p95
gpu_max_dram_activity_pct,19,balanced-valid,-0.16637819647012536,e2e_ms_p95
gpu_max_memory_busy_pct,19,balanced-valid,0.15370083070556959,e2e_ms_p95
gpu_max_memory_free_bytes,19,balanced-valid,-0.14945091039992967,e2e_ms_p95
gpu_mean_hmma_tensor_activity_pct,19,balanced-valid,0.13859649122807016,e2e_ms_p95
gpu_mean_tensor_activity_pct,19,balanced-valid,0.13859649122807016,e2e_ms_p95
network_rate_lo_rx_packets_per_s,19,balanced-valid,0.13859649122807016,e2e_ms_p95
network_rate_lo_tx_packets_per_s,19,balanced-valid,0.13859649122807016,e2e_ms_p95
cgroup_rate_cpu_nr_periods_per_s,19,balanced-valid,0.1368421052631579,e2e_ms_p95
gpu_max_clock_event_reasons,19,balanced-valid,-0.12909944487358055,e2e_ms_p95
cgroup_delta_cpu_nr_periods,19,balanced-valid,0.1185250676297888,e2e_ms_p95
gpu_max_sm_occupancy_pct,19,balanced-valid,0.11578947368421053,e2e_ms_p95
service_mean_sglang_kv_available_tokens,19,balanced-valid,0.11403508771929824,e2e_ms_p95
gpu_mean_nvlink_rx_mib_s,19,balanced-valid,0.11228070175438597,e2e_ms_p95
network_rate_lo_rx_bytes_per_s,19,balanced-valid,0.11228070175438597,e2e_ms_p95
network_rate_lo_tx_bytes_per_s,19,balanced-valid,0.11228070175438597,e2e_ms_p95
cgroup_max_memory_current_bytes,19,balanced-valid,0.11052631578947368,e2e_ms_p95
gpu_mean_interval_s,19,balanced-valid,0.11052631578947368,e2e_ms_p95
gpu_mean_nvlink_tx_mib_s,19,balanced-valid,0.10877192982456141,e2e_ms_p95
cgroup_mean_memory_current_bytes,19,balanced-valid,-0.10175438596491228,e2e_ms_p95
gpu_mean_memory_free_bytes,19,balanced-valid,0.1,e2e_ms_p95
gpu_mean_memory_used_bytes,19,balanced-valid,-0.1,e2e_ms_p95
gpu_max_power_average_w,19,balanced-valid,0.09473684210526316,e2e_ms_p95
gpu_mean_graphics_activity_pct,19,balanced-valid,-0.0912280701754386,e2e_ms_p95
cgroup_delta_cpu_usage_usec,19,balanced-valid,0.08947368421052632,e2e_ms_p95
gpu_max_sm_activity_pct,19,balanced-valid,-0.08947368421052632,e2e_ms_p95
gpu_mean_fp32_activity_pct,19,balanced-valid,0.08947368421052632,e2e_ms_p95
gpu_mean_gpu_busy_pct,19,balanced-valid,-0.08421052631578947,e2e_ms_p95
queue_samples,19,balanced-valid,0.08215752871317077,e2e_ms_p95
service_sample_count,19,balanced-valid,0.08215752871317077,e2e_ms_p95
gpu_power_imbalance_fraction,19,balanced-valid,-0.06666666666666667,e2e_ms_p95
gpu_mean_power_instant_w,19,balanced-valid,0.05964912280701754,e2e_ms_p95
gpu_mean_power_average_w,19,balanced-valid,0.05789473684210526,e2e_ms_p95
gpu_mean_temperature_c,19,balanced-valid,-0.05789473684210526,e2e_ms_p95
gpu_max_nvlink_rx_mib_s,19,balanced-valid,0.054385964912280704,e2e_ms_p95
gpu_sample_row_count,19,balanced-valid,0.05355577129938605,e2e_ms_p95
service_mean_sglang_full_token_usage,19,balanced-valid,-0.05263157894736842,e2e_ms_p95
service_mean_sglang_kv_used_tokens,19,balanced-valid,-0.05263157894736842,e2e_ms_p95
service_mean_sglang_token_usage,19,balanced-valid,-0.04912280701754386,e2e_ms_p95
gpu_fraction_clock_event_sw_power_cap,19,balanced-valid,-0.04035087719298246,e2e_ms_p95
gpu_mean_clock_event_reasons,19,balanced-valid,-0.04035087719298246,e2e_ms_p95
service_mean_sglang_num_running_reqs,19,balanced-valid,-0.04035087719298246,e2e_ms_p95
gpu_mean_dram_activity_pct,19,balanced-valid,0.028070175438596492,e2e_ms_p95
service_max_sglang_kv_available_tokens,19,balanced-valid,-0.02276441572897889,e2e_ms_p95
gpu_mean_sm_activity_pct,19,balanced-valid,-0.021052631578947368,e2e_ms_p95
network_delta_eth0_rx_bytes,19,balanced-valid,-0.014770307555161673,e2e_ms_p95
network_delta_eth0_rx_packets,19,balanced-valid,-0.014770307555161673,e2e_ms_p95
network_delta_eth0_tx_bytes,19,balanced-valid,-0.014770307555161673,e2e_ms_p95
network_delta_eth0_tx_packets,19,balanced-valid,-0.014770307555161673,e2e_ms_p95
gpu_max_hmma_tensor_activity_pct,19,balanced-valid,-0.012280701754385965,e2e_ms_p95
gpu_max_tensor_activity_pct,19,balanced-valid,-0.012280701754385965,e2e_ms_p95
gpu_mean_sm_clock_mhz,19,balanced-valid,0.012280701754385965,e2e_ms_p95
network_delta_lo_rx_bytes,19,balanced-valid,0.012280701754385965,e2e_ms_p95
network_delta_lo_rx_packets,19,balanced-valid,0.012280701754385965,e2e_ms_p95
network_delta_lo_tx_bytes,19,balanced-valid,0.012280701754385965,e2e_ms_p95
network_delta_lo_tx_packets,19,balanced-valid,0.012280701754385965,e2e_ms_p95
gpu_counter_energy_j,19,balanced-valid,0.010526315789473684,e2e_ms_p95
gpu_max_nvlink_tx_mib_s,19,balanced-valid,0.010526315789473684,e2e_ms_p95
gpu_mean_integer_activity_pct,19,balanced-valid,0.010526315789473684,e2e_ms_p95
gpu_busy_imbalance_fraction,19,balanced-valid,-0.007017543859649123,e2e_ms_p95
gpu_max_fp16_activity_pct,19,balanced-valid,0.005263157894736842,e2e_ms_p95
gpu_mean_memory_busy_pct,19,balanced-valid,0.005263157894736842,e2e_ms_p95
network_rate_eth0_rx_bytes_per_s,19,balanced-valid,-0.004919189679432818,e2e_ms_p95
network_rate_eth0_rx_packets_per_s,19,balanced-valid,-0.004919189679432818,e2e_ms_p95
network_rate_eth0_tx_bytes_per_s,19,balanced-valid,-0.004919189679432818,e2e_ms_p95
network_rate_eth0_tx_packets_per_s,19,balanced-valid,-0.004919189679432818,e2e_ms_p95
cgroup_delta_cpu_system_usec,19,balanced-valid,-0.0035087719298245615,e2e_ms_p95
gpu_mean_fp16_activity_pct,19,balanced-valid,0.0035087719298245615,e2e_ms_p95
gpu_mean_sm_occupancy_pct,19,balanced-valid,-0.0017543859649122807,e2e_ms_p95
gpu_mean_nvlink_rx_mib_s,19,balanced-valid,-0.9771929824561404,joules_per_request
gpu_mean_fp32_activity_pct,19,balanced-valid,-0.9754385964912281,joules_per_request
gpu_mean_nvlink_tx_mib_s,19,balanced-valid,-0.9754385964912281,joules_per_request
network_rate_lo_rx_packets_per_s,19,balanced-valid,-0.9666666666666667,joules_per_request
network_rate_lo_tx_packets_per_s,19,balanced-valid,-0.9666666666666667,joules_per_request
gpu_mean_fp16_activity_pct,19,balanced-valid,-0.9649122807017544,joules_per_request
gpu_mean_hmma_tensor_activity_pct,19,balanced-valid,-0.9596491228070175,joules_per_request
gpu_mean_tensor_activity_pct,19,balanced-valid,-0.9596491228070175,joules_per_request
gpu_max_power_average_w,19,balanced-valid,-0.956140350877193,joules_per_request
network_rate_lo_rx_bytes_per_s,19,balanced-valid,-0.956140350877193,joules_per_request
network_rate_lo_tx_bytes_per_s,19,balanced-valid,-0.956140350877193,joules_per_request
gpu_mean_power_instant_w,19,balanced-valid,-0.9210526315789473,joules_per_request
service_max_sglang_decode_sum_seq_lens,19,balanced-valid,-0.8775779695198613,joules_per_request
gpu_mean_integer_activity_pct,19,balanced-valid,-0.8771929824561403,joules_per_request
gpu_max_fp32_activity_pct,19,balanced-valid,-0.8719298245614036,joules_per_request
gpu_mean_dram_activity_pct,19,balanced-valid,-0.868421052631579,joules_per_request
gpu_mean_sm_activity_pct,19,balanced-valid,-0.8614035087719298,joules_per_request
gpu_mean_memory_busy_pct,19,balanced-valid,-0.8596491228070176,joules_per_request
service_max_sglang_gen_throughput,19,balanced-valid,-0.8543859649122807,joules_per_request
gpu_mean_power_average_w,19,balanced-valid,-0.8157894736842105,joules_per_request
service_mean_sglang_gen_throughput,19,balanced-valid,-0.8157894736842105,joules_per_request
queue_maximum,19,balanced-valid,-0.8129941675939588,joules_per_request
service_max_sglang_num_queue_reqs,19,balanced-valid,-0.8129941675939588,joules_per_request
gpu_mean_sm_occupancy_pct,19,balanced-valid,-0.8035087719298246,joules_per_request
service_mean_sglang_num_queue_reqs,19,balanced-valid,-0.7894736842105263,joules_per_request
service_mean_sglang_decode_sum_seq_lens,19,balanced-valid,-0.7666666666666667,joules_per_request
gpu_mean_pcie_tx_mib_s,19,balanced-valid,-0.7596491228070176,joules_per_request
service_max_sglang_full_token_usage,19,balanced-valid,-0.7543859649122807,joules_per_request
service_max_sglang_kv_used_tokens,19,balanced-valid,-0.7508771929824561,joules_per_request
gpu_max_memory_busy_pct,19,balanced-valid,-0.7465468919984809,joules_per_request
gpu_max_nvlink_rx_mib_s,19,balanced-valid,-0.7087719298245614,joules_per_request
gpu_fraction_clock_event_sw_power_cap,19,balanced-valid,-0.6982456140350877,joules_per_request
gpu_mean_clock_event_reasons,19,balanced-valid,-0.6982456140350877,joules_per_request
gpu_mean_sm_clock_mhz,19,balanced-valid,0.6912280701754386,joules_per_request
gpu_max_nvlink_tx_mib_s,19,balanced-valid,-0.6491228070175439,joules_per_request
gpu_max_sm_occupancy_pct,19,balanced-valid,-0.6350877192982456,joules_per_request
queue_nonzero_fraction,19,balanced-valid,-0.6035087719298246,joules_per_request
cgroup_rate_cpu_system_usec_per_s,19,balanced-valid,-0.5842105263157895,joules_per_request
gpu_max_memory_free_bytes,19,balanced-valid,0.5828585505597257,joules_per_request
queue_median,19,balanced-valid,-0.5534903272533465,joules_per_request
gpu_mean_graphics_activity_pct,19,balanced-valid,-0.5368421052631579,joules_per_request
gpu_max_hmma_tensor_activity_pct,19,balanced-valid,-0.5298245614035088,joules_per_request
gpu_max_tensor_activity_pct,19,balanced-valid,-0.5298245614035088,joules_per_request
gpu_mean_gpu_busy_pct,19,balanced-valid,-0.4964912280701754,joules_per_request
service_maximum_gap_s,19,balanced-valid,0.49473684210526314,joules_per_request
cgroup_rate_cpu_usage_usec_per_s,19,balanced-valid,-0.49122807017543857,joules_per_request
service_mean_sglang_full_token_usage,19,balanced-valid,-0.47368421052631576,joules_per_request
service_mean_sglang_kv_used_tokens,19,balanced-valid,-0.47368421052631576,joules_per_request
service_mean_sglang_kv_available_tokens,19,balanced-valid,0.4666666666666667,joules_per_request
service_max_sglang_num_running_reqs,19,balanced-valid,-0.42341548324796796,joules_per_request
cgroup_delta_cpu_user_usec,19,balanced-valid,0.41754385964912283,joules_per_request
gpu_max_fp16_activity_pct,19,balanced-valid,-0.4052631578947368,joules_per_request
gpu_max_interval_s,19,balanced-valid,0.3929824561403509,joules_per_request
service_max_sglang_kv_available_tokens,19,balanced-valid,0.38604655007060035,joules_per_request
gpu_mean_pcie_rx_mib_s,19,balanced-valid,0.37543859649122807,joules_per_request
gpu_sample_coverage,19,balanced-valid,-0.3649122807017544,joules_per_request
service_mean_sglang_num_running_reqs,19,balanced-valid,-0.35964912280701755,joules_per_request
gpu_maximum_gap_s,19,balanced-valid,0.34912280701754383,joules_per_request
gpu_raw_maximum_gap_s,19,balanced-valid,0.34912280701754383,joules_per_request
gpu_max_dram_activity_pct,19,balanced-valid,-0.3451462586348345,joules_per_request
cgroup_rate_cpu_nr_periods_per_s,19,balanced-valid,0.3385964912280702,joules_per_request
service_max_sglang_token_usage,19,balanced-valid,-0.32579188276750076,joules_per_request
service_mean_sglang_token_usage,19,balanced-valid,-0.3192982456140351,joules_per_request
cgroup_rate_cpu_user_usec_per_s,19,balanced-valid,0.30701754385964913,joules_per_request
gpu_max_clock_event_reasons,19,balanced-valid,-0.30123203803835463,joules_per_request
gpu_max_memory_used_bytes,19,balanced-valid,0.2929824561403509,joules_per_request
gpu_mean_temperature_c,19,balanced-valid,-0.2894736842105263,joules_per_request
gpu_mean_interval_s,19,balanced-valid,0.28596491228070176,joules_per_request
gpu_busy_imbalance_fraction,19,balanced-valid,0.2754385964912281,joules_per_request
cgroup_delta_cpu_nr_periods,19,balanced-valid,0.2712907103526277,joules_per_request
cgroup_max_memory_current_bytes,19,balanced-valid,-0.2631578947368421,joules_per_request
gpu_max_temperature_c,19,balanced-valid,-0.2512149397824199,joules_per_request
gpu_max_pcie_rx_mib_s,19,balanced-valid,0.24912280701754386,joules_per_request
queue_samples,19,balanced-valid,0.2482394147139891,joules_per_request
service_sample_count,19,balanced-valid,0.2482394147139891,joules_per_request
gpu_sample_row_count,19,balanced-valid,0.228270500620334,joules_per_request
cgroup_mean_memory_current_bytes,19,balanced-valid,-0.21754385964912282,joules_per_request
cgroup_delta_cpu_system_usec,19,balanced-valid,0.21578947368421053,joules_per_request
cgroup_delta_cpu_usage_usec,19,balanced-valid,0.19649122807017544,joules_per_request
gpu_counter_energy_j,19,balanced-valid,0.18070175438596492,joules_per_request
gpu_max_pcie_tx_mib_s,19,balanced-valid,0.17894736842105263,joules_per_request
gpu_max_sm_activity_pct,19,balanced-valid,-0.16666666666666666,joules_per_request
gpu_max_integer_activity_pct,19,balanced-valid,-0.1543859649122807,joules_per_request
network_delta_lo_rx_bytes,19,balanced-valid,0.1543859649122807,joules_per_request
network_delta_lo_rx_packets,19,balanced-valid,0.1543859649122807,joules_per_request
network_delta_lo_tx_bytes,19,balanced-valid,0.1543859649122807,joules_per_request
network_delta_lo_tx_packets,19,balanced-valid,0.1543859649122807,joules_per_request
gpu_max_power_instant_w,19,balanced-valid,-0.15263157894736842,joules_per_request
gpu_power_imbalance_fraction,19,balanced-valid,-0.14385964912280702,joules_per_request
gpu_max_graphics_activity_pct,19,balanced-valid,-0.09824561403508772,joules_per_request
network_rate_eth0_rx_bytes_per_s,19,balanced-valid,0.05657068131347741,joules_per_request
network_rate_eth0_rx_packets_per_s,19,balanced-valid,0.05657068131347741,joules_per_request
network_rate_eth0_tx_bytes_per_s,19,balanced-valid,0.05657068131347741,joules_per_request
network_rate_eth0_tx_packets_per_s,19,balanced-valid,0.05657068131347741,joules_per_request
network_delta_eth0_rx_bytes,19,balanced-valid,0.044310922665485024,joules_per_request
network_delta_eth0_rx_packets,19,balanced-valid,0.044310922665485024,joules_per_request
network_delta_eth0_tx_bytes,19,balanced-valid,0.044310922665485024,joules_per_request
network_delta_eth0_tx_packets,19,balanced-valid,0.044310922665485024,joules_per_request
gpu_mean_memory_free_bytes,19,balanced-valid,0.0017543859649122807,joules_per_request
gpu_mean_memory_used_bytes,19,balanced-valid,-0.0017543859649122807,joules_per_request
network_rate_lo_rx_packets_per_s,19,balanced-valid,0.9912280701754386,throughput_requests_s
network_rate_lo_tx_packets_per_s,19,balanced-valid,0.9912280701754386,throughput_requests_s
gpu_mean_nvlink_rx_mib_s,19,balanced-valid,0.9859649122807017,throughput_requests_s
network_rate_lo_rx_bytes_per_s,19,balanced-valid,0.9859649122807017,throughput_requests_s
network_rate_lo_tx_bytes_per_s,19,balanced-valid,0.9859649122807017,throughput_requests_s
gpu_mean_fp32_activity_pct,19,balanced-valid,0.9842105263157894,throughput_requests_s
gpu_mean_nvlink_tx_mib_s,19,balanced-valid,0.9842105263157894,throughput_requests_s
gpu_mean_hmma_tensor_activity_pct,19,balanced-valid,0.9789473684210527,throughput_requests_s
gpu_mean_tensor_activity_pct,19,balanced-valid,0.9789473684210527,throughput_requests_s
gpu_mean_fp16_activity_pct,19,balanced-valid,0.9736842105263158,throughput_requests_s
gpu_max_power_average_w,19,balanced-valid,0.9631578947368421,throughput_requests_s
gpu_mean_power_instant_w,19,balanced-valid,0.956140350877193,throughput_requests_s
gpu_mean_dram_activity_pct,19,balanced-valid,0.9070175438596492,throughput_requests_s
gpu_mean_integer_activity_pct,19,balanced-valid,0.9070175438596492,throughput_requests_s
gpu_mean_memory_busy_pct,19,balanced-valid,0.9,throughput_requests_s
gpu_mean_sm_activity_pct,19,balanced-valid,0.887719298245614,throughput_requests_s
gpu_max_fp32_activity_pct,19,balanced-valid,0.875438596491228,throughput_requests_s
queue_maximum,19,balanced-valid,0.8700617927490423,throughput_requests_s
service_max_sglang_num_queue_reqs,19,balanced-valid,0.8700617927490423,throughput_requests_s
service_max_sglang_decode_sum_seq_lens,19,balanced-valid,0.8661694559161032,throughput_requests_s
gpu_mean_power_average_w,19,balanced-valid,0.8614035087719298,throughput_requests_s
service_max_sglang_gen_throughput,19,balanced-valid,0.8596491228070176,throughput_requests_s
service_mean_sglang_num_queue_reqs,19,balanced-valid,0.8508771929824561,throughput_requests_s
service_mean_sglang_gen_throughput,19,balanced-valid,0.8421052631578947,throughput_requests_s
gpu_mean_sm_occupancy_pct,19,balanced-valid,0.8210526315789474,throughput_requests_s
service_mean_sglang_decode_sum_seq_lens,19,balanced-valid,0.7596491228070176,throughput_requests_s
gpu_fraction_clock_event_sw_power_cap,19,balanced-valid,0.756140350877193,throughput_requests_s
gpu_mean_clock_event_reasons,19,balanced-valid,0.756140350877193,throughput_requests_s
gpu_mean_sm_clock_mhz,19,balanced-valid,-0.7473684210526316,throughput_requests_s
gpu_mean_pcie_tx_mib_s,19,balanced-valid,0.7456140350877193,throughput_requests_s
service_max_sglang_kv_used_tokens,19,balanced-valid,0.7456140350877193,throughput_requests_s
service_max_sglang_full_token_usage,19,balanced-valid,0.7421052631578947,throughput_requests_s
gpu_max_memory_busy_pct,19,balanced-valid,0.7245896304691137,throughput_requests_s
gpu_max_nvlink_rx_mib_s,19,balanced-valid,0.7210526315789474,throughput_requests_s
queue_nonzero_fraction,19,balanced-valid,0.6771929824561403,throughput_requests_s
gpu_max_nvlink_tx_mib_s,19,balanced-valid,0.6754385964912281,throughput_requests_s
gpu_max_sm_occupancy_pct,19,balanced-valid,0.6456140350877193,throughput_requests_s
queue_median,19,balanced-valid,0.6364682840573901,throughput_requests_s
cgroup_rate_cpu_system_usec_per_s,19,balanced-valid,0.5771929824561404,throughput_requests_s
gpu_mean_graphics_activity_pct,19,balanced-valid,0.5736842105263158,throughput_requests_s
gpu_max_hmma_tensor_activity_pct,19,balanced-valid,0.5614035087719298,throughput_requests_s
gpu_max_tensor_activity_pct,19,balanced-valid,0.5614035087719298,throughput_requests_s
gpu_mean_gpu_busy_pct,19,balanced-valid,0.5421052631578948,throughput_requests_s
gpu_max_memory_free_bytes,19,balanced-valid,-0.5072539723574083,throughput_requests_s
cgroup_rate_cpu_usage_usec_per_s,19,balanced-valid,0.48596491228070177,throughput_requests_s
service_maximum_gap_s,19,balanced-valid,-0.47368421052631576,throughput_requests_s
service_mean_sglang_full_token_usage,19,balanced-valid,0.47368421052631576,throughput_requests_s
